category,points,question,answer,image,trivia
1k per Pop Culture,100,"Which P-pop girl group is known for hits like ""Pantropiko"" and is often called the Nation's Girl Group?",BINI,,BINI's rise helped push P-pop even more into mainstream Filipino student playlists.
1k per Pop Culture,200,What is the new name of former child star Aiza Seguerra?,Ice,,Ice is a successful musician and first became famous after winning Little Miss Philippines.
1k per Pop Culture,300,What viral 2025 Filipino meme phrase came from an old It's Showtime Kalokalike impersonation of Jacob Black from Twilight?,What hafen Vella?,,The clip resurfaced years later and became a meme across Filipino social feeds.
1k per Pop Culture,400,What controversial line is used by China to claim a large part of the South China Sea?,Nine-dash line,,"In 2016, an international tribunal ruled that China’s nine-dash line claim had no legal basis under international law."
1k per Pop Culture,500,"Which former SexBomb Girl is married to Alvin Aragon, whose comments about the SexBomb reunion became a viral online issue in 2026?",Izzy,,"Alvin Aragon said Izzy left SexBomb after becoming Christian, sparking memes and reactions,"
Heneral Knowledge,100,What language did many ancient Romans speak?,Latin,,"Latin influenced modern languages such as Italian, French, Spanish, Portuguese, and Romanian."
Heneral Knowledge,200,"What long river flows through Vienna, Budapest, and Belgrade?",Danube River,,The Danube passes through or borders many European countries.
Heneral Knowledge,300,What mountain range separates France and Spain?,Pyrenees,,The Pyrenees form a natural border between France and Spain.
Heneral Knowledge,400,What empire once ruled large parts of Central Europe and was led by the Habsburg family?,Austro-Hungarian Empire,,The empire dissolved after World War I.
Heneral Knowledge,500,What narrow strait separates Europe from Africa between Spain and Morocco?,Strait of Gibraltar,,It connects the Atlantic Ocean and the Mediterranean Sea.
Agham at Literatura,100,"What pigment gives color to human skin, hair, and eyes?",Melanin,,Melanin also helps protect the skin from ultraviolet radiation from the Sun.
Agham at Literatura,200,What is the closest star to our Sun?,Proxima Centauri,,Proxima Centauri is part of the Alpha Centauri star system and is about 4.24 light-years away
Agham at Literatura,300,Who was the first person to win Nobel Prizes in two different scientific fields?,Marie Curie,,Polish-French scientist won Nobel Prizes for work connected to radioactivity
Agham at Literatura,400,Which science fiction classic was written by Mary Shelley?,Frankenstein,,Frankenstein is often considered the birth of science fiction.
Agham at Literatura,500,"Which author wrote The Metamorphosis, where Gregor Samsa wakes up transformed into an insect-like creature?",Franz Kafka,,"Kafka's name inspired the word Kafkaesque, used for strange, confusing, or oppressive situations."
Viva La France,100,Which French region is famous for sparkling wine that can legally use its name?,Champagne,,Sparkling wine must come from the Champagne region to use the name Champagne under protected rules.
Viva La France,200,What French aircraft manufacturer is part of the company behind the A320 and A380 planes?,Airbus,,Airbus has major roots in France and became one of the world’s biggest aircraft makers.
Viva La France,300,What French cosmetics company is known for the slogan “Because you’re worth it”?,L’Oreal,,L’Oreal was founded in France in 1909 and became one of the world’s largest beauty companies.
Viva La France,400,What mountain is the highest peak in the Alps and Western Europe?,Mont Blanc,,Mont Blanc sits near the border of France and Italy.
Viva La France,500,What French island in the Mediterranean is known as the birthplace of Napoleon Bonaparte?,Corsica,,"Napoleon was born in Ajaccio, Corsica, in 1769."
Piktyur2,100,,,,
Piktyur2,200,,,,
Piktyur2,300,,,,
Piktyur2,400,,,,
Piktyur2,500,,,,
