category,points,question,answer,image,trivia
1k per Pop Culture,100,"This P-pop girl group is known for hits like ""Pantropiko"" and is often called the Nation's Girl Group.","Who is BINI?",,"BINI's rise helped push P-pop even more into mainstream Filipino student playlists."
1k per Pop Culture,200,"This Filipino boy group is known as the P-pop Kings and released the 2025 EP ""Simula at Wakas"".","Who is SB19?",,"SB19's 2025 music video for ""DUNGKA!"" featured many Filipino celebrities and online personalities."
1k per Pop Culture,300,"This viral 2025 Filipino meme phrase came from an old It's Showtime Kalokalike impersonation of Jacob Black.","What is ""What hafen Vella?""",,"The clip resurfaced years later and became a meme across Filipino social feeds."
1k per Pop Culture,400,"This grassroots dance music genre from Davao became internationally noticed for its playful beat and viral dance culture.","What is budots?",,"Budots is strongly linked with Davao street culture and DJ Love."
1k per Pop Culture,500,"In SB19's star-studded ""DUNGKA!"" music video, this Unkabogable Star appeared among the celebrity cameos.","Who is Vice Ganda?",,"The video also included creators and performers such as Sassa Gurl, Alodia, Maymay Entrata, and others."
Heneral Knowledge,100,"This country is shaped like a boot and has Rome as its capital.","What is Italy?",,"Rome was also the center of the ancient Roman Empire."
Heneral Knowledge,200,"This long river flows through Vienna, Budapest, and Belgrade.","What is the Danube River?",,"The Danube passes through or borders many European countries."
Heneral Knowledge,300,"This 1789 revolution in Europe began with events such as the storming of the Bastille.","What is the French Revolution?",,"The Bastille became a symbol of royal authority and its fall is remembered every July 14 in France."
Heneral Knowledge,400,"This empire once ruled large parts of Central Europe and was led by the Habsburg family.","What is the Austro-Hungarian Empire?",,"The empire dissolved after World War I."
Heneral Knowledge,500,"This 1648 peace settlement ended the Thirty Years' War and helped shape the modern idea of state sovereignty in Europe.","What is the Peace of Westphalia?",,"It is often discussed as a turning point in European political history."
Agham at Literatura,100,"This English scientist described gravity after studying motion and is linked with the apple story.","Who is Isaac Newton?",,"Newton's work helped form classical physics."
Agham at Literatura,200,"This playwright wrote ""Romeo and Juliet"" and ""Hamlet"".","Who is William Shakespeare?",,"Shakespeare wrote during the English Renaissance."
Agham at Literatura,300,"This Polish-French scientist won Nobel Prizes for work connected to radioactivity.","Who is Marie Curie?",,"Curie was the first person to win Nobel Prizes in two different scientific fields."
Agham at Literatura,400,"This Spanish author wrote ""Don Quixote"".","Who is Miguel de Cervantes?",,"Don Quixote is often considered one of the first modern novels."
Agham at Literatura,500,"This Czech-born writer created ""The Metamorphosis"", where Gregor Samsa wakes up transformed.","Who is Franz Kafka?",,"Kafka's name inspired the word Kafkaesque, used for strange or oppressive situations."
Viva La France,100,"This famous Paris tower was built for the 1889 World's Fair.","What is the Eiffel Tower?",,"It was first criticized by some artists but became a global symbol of France."
Viva La France,200,"This French phrase means ""good appetite"" and is said before eating.","What is bon appetit?",,"It is commonly used before meals in French culture."
Viva La France,300,"This museum in Paris is home to the Mona Lisa.","What is the Louvre?",,"The Louvre was once a royal palace before becoming a museum."
Viva La France,400,"This French region is famous for sparkling wine that can legally use its name.","What is Champagne?",,"Sparkling wine must come from the Champagne region to use the name Champagne under protected rules."
Viva La France,500,"This French national motto means liberty, equality, fraternity.","What is Liberte, Egalite, Fraternite?",,"The motto became strongly associated with the French Revolution and the French Republic."
Piktyur2,100,,,,
Piktyur2,200,,,,
Piktyur2,300,,,,
Piktyur2,400,,,,
Piktyur2,500,,,,
